Value,Percentile,TotalCount,1/(1-Percentile)
3.791,0.000000,1,1.00
4.315,0.100000,67,1.11
4.439,0.200000,128,1.25
4.551,0.300000,192,1.43
4.627,0.400000,254,1.67
4.711,0.500000,319,2.00
4.751,0.550000,350,2.22
4.811,0.600000,381,2.50
4.871,0.650000,414,2.86
4.935,0.700000,447,3.33
5.031,0.750000,478,4.00
5.079,0.775000,494,4.44
5.111,0.800000,509,5.00
5.179,0.825000,524,5.71
5.247,0.850000,540,6.67
5.363,0.875000,556,8.00
5.431,0.887500,564,8.89
5.575,0.900000,572,10.00
5.811,0.912500,580,11.43
6.471,0.925000,588,13.33
6.623,0.937500,596,16.00
6.707,0.943750,600,17.78
6.843,0.950000,605,20.00
6.903,0.956250,608,22.86
6.931,0.962500,612,26.67
6.975,0.968750,616,32.00
7.039,0.971875,618,35.56
7.059,0.975000,620,40.00
7.123,0.978125,622,45.71
7.139,0.981250,624,53.33
7.203,0.984375,626,64.00
7.351,0.985938,627,71.11
7.387,0.987500,628,80.00
7.419,0.989062,629,91.43
7.447,0.990625,630,106.67
7.471,0.992188,631,128.00
7.471,0.992969,631,142.22
7.575,0.993750,632,160.00
7.575,0.994531,632,182.86
8.191,0.995313,633,213.33
8.191,0.996094,633,256.00
8.191,0.996484,633,284.44
8.871,0.996875,634,320.00
8.871,0.997266,634,365.71
8.871,0.997656,634,426.67
8.871,0.998047,634,512.00
8.871,0.998242,634,568.89
9.999,0.998437,635,640.00
9.999,1.000000,635,inf
