Value,Percentile,TotalCount,1/(1-Percentile)
3.739,0.000000,1,1.00
4.279,0.100000,65,1.11
4.431,0.200000,131,1.25
4.511,0.300000,191,1.43
4.603,0.400000,255,1.67
4.679,0.500000,321,2.00
4.715,0.550000,351,2.22
4.767,0.600000,381,2.50
4.827,0.650000,413,2.86
4.899,0.700000,447,3.33
4.963,0.750000,478,4.00
4.995,0.775000,494,4.44
5.039,0.800000,508,5.00
5.099,0.825000,524,5.71
5.191,0.850000,540,6.67
5.343,0.875000,556,8.00
5.431,0.887500,564,8.89
5.563,0.900000,572,10.00
6.371,0.912500,581,11.43
6.619,0.925000,588,13.33
6.823,0.937500,596,16.00
6.871,0.943750,601,17.78
6.963,0.950000,605,20.00
7.011,0.956250,608,22.86
7.087,0.962500,612,26.67
7.159,0.968750,616,32.00
7.191,0.971875,618,35.56
7.255,0.975000,620,40.00
7.275,0.978125,622,45.71
7.319,0.981250,624,53.33
7.475,0.984375,626,64.00
7.763,0.985938,627,71.11
7.775,0.987500,628,80.00
7.819,0.989062,629,91.43
7.895,0.990625,630,106.67
7.939,0.992188,631,128.00
7.939,0.992969,631,142.22
8.003,0.993750,632,160.00
8.003,0.994531,632,182.86
8.623,0.995313,633,213.33
8.623,0.996094,633,256.00
8.623,0.996484,633,284.44
9.247,0.996875,634,320.00
9.247,0.997266,634,365.71
9.247,0.997656,634,426.67
9.247,0.998047,634,512.00
9.247,0.998242,634,568.89
14.599,0.998437,635,640.00
14.599,1.000000,635,inf
