Value,Percentile,TotalCount,1/(1-Percentile)
3.991,0.000000,1,1.00
4.715,0.100000,64,1.11
4.995,0.200000,129,1.25
5.107,0.300000,195,1.43
5.179,0.400000,256,1.67
5.259,0.500000,321,2.00
5.303,0.550000,353,2.22
5.343,0.600000,381,2.50
5.403,0.650000,413,2.86
5.487,0.700000,446,3.33
5.567,0.750000,478,4.00
5.611,0.775000,495,4.44
5.643,0.800000,508,5.00
5.707,0.825000,524,5.71
5.767,0.850000,540,6.67
5.891,0.875000,556,8.00
5.939,0.887500,565,8.89
6.019,0.900000,572,10.00
6.147,0.912500,580,11.43
7.155,0.925000,588,13.33
7.387,0.937500,596,16.00
7.415,0.943750,601,17.78
7.495,0.950000,605,20.00
7.515,0.956250,608,22.86
7.543,0.962500,612,26.67
7.579,0.968750,616,32.00
7.595,0.971875,618,35.56
7.643,0.975000,620,40.00
7.655,0.978125,623,45.71
7.715,0.981250,624,53.33
7.807,0.984375,626,64.00
7.943,0.985938,627,71.11
8.023,0.987500,628,80.00
8.059,0.989062,629,91.43
8.103,0.990625,630,106.67
8.147,0.992188,631,128.00
8.147,0.992969,631,142.22
8.327,0.993750,632,160.00
8.327,0.994531,632,182.86
9.615,0.995313,633,213.33
9.615,0.996094,633,256.00
9.615,0.996484,633,284.44
9.687,0.996875,634,320.00
9.687,0.997266,634,365.71
9.687,0.997656,634,426.67
9.687,0.998047,634,512.00
9.687,0.998242,634,568.89
10.863,0.998437,635,640.00
10.863,1.000000,635,inf
